title,author,link,image
"Ex-NFL star Hernandez, serving life, acquitted in 2 slayings",Philippine Daily Inquirer,http://sports.inquirer.net/244798/ex-nfl-star-hernandez-serving-life-acquitted-2-slayings,NULL
Abu Sayyaf leader Sahiron with $1M bounty intends to surrender,Philippine Daily Inquirer,http://newsinfo.inquirer.net/889269/abu-sayyaf-leader-sahiron-with-1m-bounty-intends-to-surrender,NULL
Pope Francis blasts migrant suffering in Easter prayer,Philippine Daily Inquirer,http://newsinfo.inquirer.net/889266/pope-francis-blasts-migrant-suffering-in-easter-prayer,NULL
Johnson could match UFC record with 10th title defense in KC,Philippine Daily Inquirer,http://sports.inquirer.net/244795/johnson-match-ufc-record-10th-title-defense-kc,NULL
Number of IS fighters killed by US bomb jumps to 90—Afghan execs,Philippine Daily Inquirer,http://newsinfo.inquirer.net/889263/number-of-is-fighters-killed-by-us-bomb-jumps-to-90-afghan-execs,NULL
Four people drown in Isabela rivers on Good Friday gatherings,Philippine Daily Inquirer,http://newsinfo.inquirer.net/889257/four-people-drown-in-isabela-rivers-on-good-friday-gatherings,NULL
"2 killed, 8 hurt in Pangasinan road accidents during Holy Week break",Philippine Daily Inquirer,http://newsinfo.inquirer.net/889259/2-killed-8-hurt-in-pangasinan-road-accidents-during-holy-week-break,NULL
3 dead in Holy Week drowning incidents in Quezon,Philippine Daily Inquirer,http://newsinfo.inquirer.net/889255/3-dead-in-holy-week-drowning-incidents-in-quezon,NULL
"De Lima airs sympathy for soldiers, cop killed in Bohol firefight",Philippine Daily Inquirer,http://newsinfo.inquirer.net/889253/de-lima-airs-sympathy-for-soldiers-cop-killed-in-bohol-firefight,NULL
"Meeting between PH, Qatari labor chiefs eyed to discuss OFW rights",Philippine Daily Inquirer,http://globalnation.inquirer.net/154902/meeting-ph-qatari-labor-chiefs-eyed-discuss-ofw-rights,NULL
Tourists advised: Consider leaving early due to ‘Crising’,Philippine Daily Inquirer,http://newsinfo.inquirer.net/889250/tourists-advised-consider-leaving-early-due-to-crising,NULL
Qatar tipped to hire more Filipinos,Philippine Daily Inquirer,http://globalnation.inquirer.net/154900/qatar-tipped-to-hire-more-filipinos,NULL
"North Korea rolls out missiles, other weapons at parade",Philippine Daily Inquirer,http://newsinfo.inquirer.net/889244/north-korea-rolls-out-missiles-other-weapons-at-parade,NULL
Palawan disaster official shot dead by suspected rebels,Philippine Daily Inquirer,http://newsinfo.inquirer.net/889239/palawan-disaster-official-shot-dead-by-suspected-rebels,NULL
"Almost 1,000 stranded in Bicol ports due to ‘Crising’",Philippine Daily Inquirer,http://newsinfo.inquirer.net/889234/almost-1000-stranded-in-bicol-ports-due-to-crising,NULL
TD ‘Crising’ weakens; 17 areas under Signal No. 1,Philippine Daily Inquirer,http://newsinfo.inquirer.net/889231/td-crising-weakens-17-areas-under-signal-no-1,NULL
"5 drown in Cavite, Batangas beaches on Good Friday",Philippine Daily Inquirer,http://newsinfo.inquirer.net/889232/5-drown-in-cavite-batangas-beaches-on-good-friday,NULL
Mercury Drug founder Mariano Que dies at 96,Philippine Daily Inquirer,http://business.inquirer.net/227781/mercury-drug-founder-mariano-que-dies-96,NULL
North Korea starts celebrating birthday of country’s founder,Philippine Daily Inquirer,http://newsinfo.inquirer.net/889226/north-korea-starts-celebrating-birthday-of-countrys-founder,NULL
Top US boarding school details decades of sexual abuse,Philippine Daily Inquirer,http://newsinfo.inquirer.net/889224/top-us-boarding-school-details-decades-of-sexual-abuse,NULL
NBA: Knicks exec Jackson says Anthony better off elsewhere,Philippine Daily Inquirer,http://sports.inquirer.net/244793/nba-knicks-exec-jackson-says-anthony-better-off-elsewhere,NULL
China warns of war as North Korea vows ‘merciless’ response to US,Philippine Daily Inquirer,http://newsinfo.inquirer.net/889221/china-warns-of-war-as-north-korea-vows-merciless-response-to-us,NULL
Doha ‘honored’ as Duterte lands in Qatar — minister,Philippine Daily Inquirer,http://globalnation.inquirer.net/154897/doha-honored-duterte-lands-qatar-minister,NULL
4 drown in Pangasinan on Good Friday,Philippine Daily Inquirer,http://newsinfo.inquirer.net/889219/4-drown-in-pangasinan-on-good-friday,NULL
Troops mass in Pyongyang show of strength,Philippine Daily Inquirer,http://newsinfo.inquirer.net/889216/troops-mass-in-pyongyang-show-of-strength,NULL
WATCH: First ‘Star Wars: The Last Jedi’ trailer thrills fans,Philippine Daily Inquirer,http://entertainment.inquirer.net/222031/watch-first-star-wars-last-jedi-trailer-thrills-fans,NULL
Christian pilgrims commemorate Good Friday in Jerusalem,Philippine Daily Inquirer,http://newsinfo.inquirer.net/889213/christian-pilgrims-commemorate-good-friday-in-jerusalem,NULL
Large asteroid in near miss with Earth on April 19,Philippine Daily Inquirer,http://newsinfo.inquirer.net/889209/large-asteroid-in-near-miss-with-earth-on-april-19,NULL
"Organ concert at Holy Name of Jesus Church SF, April 30",Philippine Daily Inquirer,http://usa.inquirer.net/2938/organ-concert-holy-name-jesus-church-sf-april-30,NULL
A popular Marian shrine in an immigrant enclave in San Francisco,Philippine Daily Inquirer,http://usa.inquirer.net/2924/popular-marian-shrine-immigrant-enclave-san-francisco,NULL
NY benefit showcases artistry of kids with autism,Philippine Daily Inquirer,http://usa.inquirer.net/2910/ny-benefit-showcases-artistry-kids-autism,NULL
Is warrantless search of electronic devices on entering US legal?,Philippine Daily Inquirer,http://usa.inquirer.net/2903/warrantless-search-electronic-devices-entering-us-legal,NULL
LOOK: Mango Cake recipe from Goldilocks Bakebook,Philippine Daily Inquirer,http://usa.inquirer.net/2898/look-mango-cake-recipe-goldilocks-bakebook,NULL
5 summer mood movies,Philippine Daily Inquirer,http://usa.inquirer.net/2907/5-summer-mood-movies,NULL
Should employees be paid for doing tasks while not clocked in?,Philippine Daily Inquirer,http://usa.inquirer.net/2900/employees-paid-tasks-not-clocked,NULL
Roof of Bellagio mall burns near iconic fountains in Vegas,Philippine Daily Inquirer,http://newsinfo.inquirer.net/889204/roof-of-bellagio-mall-burns-near-iconic-fountains-in-vegas,NULL
Afghanistan says massive US bomb killed 36 militants,Philippine Daily Inquirer,http://newsinfo.inquirer.net/889201/afghanistan-says-massive-us-bomb-killed-36-militants,NULL
Officials: No need for Trump’s approval to use massive bomb,Philippine Daily Inquirer,http://newsinfo.inquirer.net/889199/officials-no-need-for-trumps-approval-to-use-massive-bomb,NULL
Pope attends Good Friday service recalling Jesus’ suffering,Philippine Daily Inquirer,http://newsinfo.inquirer.net/889196/pope-attends-good-friday-service-recalling-jesus-suffering,NULL
